time,rc_on,rc_w,rc_to,mode,batt_w,batt_a,soc,grid_w,health,pwr_sw,axle
2026-09-07T17:16:13,off,0,0,35,825,15.7,77,8,Healthy,On,upcoming
2026-09-07T17:16:27,off,0,0,35,836,15.9,77,-4,Healthy,On,upcoming
2026-09-07T17:16:44,off,0,0,35,841,16.0,77,5,Healthy,On,upcoming
2026-09-07T17:16:58,off,0,0,35,841,16.0,77,4,Healthy,On,upcoming
2026-09-07T17:17:12,off,0,0,35,841,16.0,77,1,Healthy,On,upcoming
2026-09-07T17:17:29,off,0,0,35,841,16.0,77,-9,Healthy,On,upcoming
2026-09-07T17:17:58,off,0,0,35,unknown,unknown,unknown,unknown,Degraded,On,upcoming
2026-09-07T17:18:14,off,0,0,35,862,16.4,77,23,Degraded,On,upcoming
2026-09-07T17:18:28,off,0,0,35,852,16.2,77,-1,Degraded,On,upcoming
2026-09-07T17:18:43,off,0,0,35,857,16.3,77,5,Degraded,On,upcoming
2026-09-07T17:18:59,off,0,0,35,857,16.3,77,-12,Degraded,On,upcoming
2026-09-07T17:19:13,off,0,0,35,857,16.3,77,-15,Degraded,On,upcoming
2026-09-07T17:19:28,off,0,0,35,862,16.4,77,0,Degraded,On,upcoming
2026-09-07T17:19:44,off,0,0,35,867,16.5,77,6,Degraded,On,upcoming
2026-09-07T17:19:58,off,0,0,35,862,16.4,77,5,Degraded,On,upcoming
2026-09-07T17:20:13,off,0,0,35,862,16.4,77,-3,Degraded,On,upcoming
2026-09-07T17:20:29,off,0,0,35,883,16.8,77,-36,Degraded,On,upcoming
2026-09-07T17:20:43,off,0,0,35,915,17.4,77,14,Degraded,On,upcoming
2026-09-07T17:20:58,off,0,0,35,915,17.4,77,-12,Degraded,On,upcoming
2026-09-07T17:21:14,off,0,0,35,915,17.4,77,-1,Degraded,On,upcoming
2026-09-07T17:21:28,off,0,0,35,931,17.7,77,14,Degraded,On,upcoming
2026-09-07T17:21:43,off,0,0,35,920,17.5,77,-3,Degraded,On,upcoming
2026-09-07T17:21:59,off,0,0,35,915,17.4,77,4,Degraded,On,upcoming
2026-09-07T17:22:13,off,0,0,35,915,17.4,77,-22,Degraded,On,upcoming
2026-09-07T17:22:28,off,0,0,35,909,17.3,77,32,Degraded,On,upcoming
2026-09-07T17:22:44,off,0,0,35,915,17.4,77,-7,Degraded,On,upcoming
2026-09-07T17:22:59,off,0,0,35,904,17.2,77,-3,Degraded,On,upcoming
2026-09-07T17:23:13,off,0,0,35,899,17.1,77,7,Degraded,On,upcoming
2026-09-07T17:23:29,off,0,0,35,899,17.1,77,8,Degraded,On,upcoming
2026-09-07T17:23:44,off,0,0,35,904,17.2,77,8,Degraded,On,upcoming
2026-09-07T17:23:58,off,0,0,35,888,16.9,77,2,Degraded,On,upcoming
2026-09-07T17:24:14,off,0,0,35,894,17.0,77,-10,Degraded,On,upcoming
2026-09-07T17:24:29,off,0,0,35,899,17.1,77,24,Degraded,On,upcoming
2026-09-07T17:24:43,off,0,0,35,883,16.8,77,3,Degraded,On,upcoming
2026-09-07T17:24:57,off,0,0,35,888,16.9,77,3,Degraded,On,upcoming
2026-09-07T17:25:14,off,0,0,35,883,16.8,77,1,Degraded,On,upcoming
2026-09-07T17:25:28,off,0,0,35,878,16.7,77,71,Degraded,On,upcoming
2026-09-07T17:25:42,off,0,0,35,815,15.5,77,5,Degraded,On,upcoming
2026-09-07T17:25:59,off,0,0,35,815,15.5,77,1,Degraded,On,upcoming
2026-09-07T17:26:13,off,0,0,35,815,15.5,77,6,Degraded,On,upcoming
2026-09-07T17:26:28,off,0,0,35,815,15.5,77,5,Degraded,On,upcoming
2026-09-07T17:26:44,off,0,0,35,810,15.4,77,-6,Degraded,On,upcoming
2026-09-07T17:26:58,off,0,0,35,815,15.5,77,8,Degraded,On,upcoming
2026-09-07T17:27:13,off,0,0,35,836,15.9,77,4,Degraded,On,upcoming
2026-09-07T17:27:29,off,0,0,35,831,15.8,77,2,Degraded,On,upcoming
2026-09-07T17:27:43,off,0,0,35,720,13.7,77,-13,Degraded,On,upcoming
2026-09-07T17:27:58,off,0,0,35,715,13.6,77,2,Healthy,On,upcoming
2026-09-07T17:28:14,off,0,0,35,741,14.1,77,-2,Healthy,On,upcoming
2026-09-07T17:28:28,off,0,0,35,741,14.1,77,4,Healthy,On,upcoming
2026-09-07T17:28:43,off,0,0,35,731,13.9,77,1,Healthy,On,upcoming
2026-09-07T17:28:59,off,0,0,35,720,13.7,77,-1,Healthy,On,upcoming
2026-09-07T17:29:13,off,0,0,35,767,14.6,77,-22,Healthy,On,upcoming
2026-09-07T17:29:28,off,0,0,35,762,14.5,77,2,Healthy,On,upcoming
2026-09-07T17:29:44,off,0,0,35,757,14.4,77,2,Healthy,On,upcoming
2026-09-07T17:29:59,off,0,0,35,752,14.3,77,0,Healthy,On,upcoming
2026-09-07T17:30:13,off,0,0,35,757,14.4,77,-5,Healthy,On,upcoming
2026-09-07T17:30:29,off,0,0,35,752,14.3,77,2,Healthy,On,upcoming
2026-09-07T17:30:44,off,0,0,35,762,14.5,77,14,Healthy,On,upcoming
2026-09-07T17:30:58,off,0,0,35,757,14.4,77,6,Healthy,On,upcoming
2026-09-07T17:31:14,off,0,0,35,752,14.3,77,-3,Healthy,On,upcoming
2026-09-07T17:31:29,off,0,0,35,757,14.4,77,17,Healthy,On,upcoming
2026-09-07T17:31:43,off,0,0,35,752,14.3,77,10,Healthy,On,upcoming
2026-09-07T17:31:58,off,0,0,35,752,14.3,77,11,Healthy,On,upcoming
2026-09-07T17:32:14,off,0,0,35,746,14.2,76,-1,Healthy,On,upcoming
2026-09-07T17:32:28,off,0,0,35,746,14.2,76,1,Healthy,On,upcoming
2026-09-07T17:32:43,off,0,0,35,736,14.0,76,12,Healthy,On,upcoming
2026-09-07T17:32:59,off,0,0,35,720,13.7,76,18,Healthy,On,upcoming
2026-09-07T17:33:13,off,0,0,35,690,13.1,76,-2,Healthy,On,upcoming
2026-09-07T17:33:28,off,0,0,35,694,13.2,76,-3,Healthy,On,upcoming
2026-09-07T17:33:44,off,0,0,35,699,13.3,76,13,Healthy,On,upcoming
2026-09-07T17:33:58,off,0,0,35,685,13.0,76,11,Healthy,On,upcoming
2026-09-07T17:34:13,off,0,0,35,678,12.9,76,-10,Healthy,On,upcoming
2026-09-07T17:34:29,off,0,0,35,679,12.9,76,5,Healthy,On,upcoming
2026-09-07T17:34:43,off,0,0,35,669,12.7,76,7,Healthy,On,upcoming
2026-09-07T17:34:58,off,0,0,35,888,16.9,76,-2,Healthy,On,upcoming
2026-09-07T17:35:14,off,0,0,35,894,17.0,76,0,Healthy,On,upcoming
2026-09-07T17:35:29,off,0,0,35,888,16.9,76,2,Healthy,On,upcoming
2026-09-07T17:35:43,off,0,0,35,883,16.8,76,9,Healthy,On,upcoming
2026-09-07T17:35:59,off,0,0,35,878,16.7,76,-3,Healthy,On,upcoming
2026-09-07T17:36:14,off,0,0,35,867,16.5,76,-8,Healthy,On,upcoming
2026-09-07T17:36:28,off,0,0,35,867,16.5,76,12,Healthy,On,upcoming
2026-09-07T17:36:44,off,0,0,35,857,16.3,76,7,Healthy,On,upcoming
