time,rc_on,rc_w,rc_to,mode,batt_w,batt_a,soc,grid_w,health,pwr_sw,axle_st,axle_ip,axle_dir,td_cur,td_sh,td_sm,td_eh,td_em,tc_cur,tc_sh,dis_cur,cd_cur,cc_slot1_dis,cc_slot1_time,cc_reserve
2026-09-07T19:53:58,off,0,0,35,903,17.2,62,-2,Healthy,On,unknown,off,unknown,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T19:54:13,off,0,0,35,909,17.3,62,8,Healthy,On,unknown,off,unknown,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T19:54:29,off,0,0,35,903,17.2,62,0,Healthy,On,unknown,off,unknown,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T19:54:44,off,0,0,35,908,17.3,62,12,Healthy,On,unknown,off,unknown,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T19:54:59,off,0,0,35,892,17.0,62,-5,Healthy,On,unknown,off,unknown,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T19:55:14,off,0,0,35,908,17.3,62,1,Healthy,On,unknown,off,unknown,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T19:55:30,off,0,0,35,903,17.2,62,5,Healthy,On,unknown,off,unknown,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T19:55:45,off,0,0,35,892,17.0,62,-13,Healthy,On,unknown,off,unknown,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T19:56:00,off,0,0,35,897,17.1,62,4,Healthy,On,unknown,off,unknown,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T19:56:15,off,0,0,35,909,17.3,61,6,Healthy,On,unknown,off,unknown,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T19:56:31,off,0,0,35,894,17.0,61,0,Healthy,On,unknown,off,unknown,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T19:56:46,off,0,0,35,904,17.2,61,3,Healthy,On,unknown,off,unknown,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
